Text,Date,No_of_likes,No_of_comments,Year,Clean_Text,Sentiment,Confidence
Aam Aadmi Party National Organization General Secretary and Gujarat In-charge @SandeepPathak04 will visit Gujarat tomorrow on 26/12/2023 as part of preparations for the upcoming Lok Sabha elections.,2023-12-25 10:30:00,26,0,2024,Aam Aadmi Party National Organization General Secretary and Gujarat In-charge will visit Gujarat tomorrow on 26/12/2023 as part of preparations for the upcoming Lok Sabha elections.,neutral,0.9142394065856934
Loksabha ke bhi declare ho jane chaiye,2023-12-25 12:53:00,0,0,2024,Loksabha ke bhi declare ho jane chaiye,neutral,0.8057770729064941
@ICMAICMA @theicai @icsi_cs #bjp4india #icmai @loksabhatv @PMOIndia @FinMinIndia @IncomeTaxIndia @MCA21India @MIB_India @minmsme Gratitude to Lok Sabha Speaker Sh Om Birla ji for attending the NIRC CMA Student Convention and emphasizing the vital role of CMA in nation-building.,2023-12-24 03:09:00,27,0,2024,bjp4india icmai Gratitude to Lok Sabha Speaker Sh Om Birla ji for attending the NIRC CMA Student Convention and emphasizing the vital role of CMA in nation-building.,positive,0.9082046747207642
Warm birthday greetings to the Loksabha MP Shri @manoj_kotak Ji. I pray for your good health and long life.,2023-12-25 12:52:00,3,0,2024,Warm birthday greetings to the Loksabha MP Shri Ji. I pray for your good health and long life.,positive,0.9784533977508545
"संविधान एवं अधिकार के रक्षा हेतु संविधान हितैषी पार्टी का चयन करना होगा और आप जानते हैं देश में दलितों, पिछड़ो, उपेक्षितों, आदिवासी एवं महिलाओं के अधिकार की बात आपकी अपनी पार्टी में संभव है। 1/2 #Mayavati #Sanvidhan #Ambedkar #Loksabha #Bahujansamajparty #Bahujansamaj #AnilKumar",2023-12-25 03:42:00,150,2,2024,"संविधान एवं अधिकार के रक्षा हेतु संविधान हितैषी पार्टी का चयन करना होगा और आप जानते हैं देश में दलितों, पिछड़ो, उपेक्षितों, आदिवासी एवं महिलाओं के अधिकार की बात आपकी अपनी पार्टी में संभव है। 1/2 Mayavati Sanvidhan Ambedkar Loksabha Bahujansamajparty Bahujansamaj AnilKumar",neutral,0.7792064547538757
"“When a Speaker of the Lok Sabha is elected, he should not act as a member of a political party. Constitutionally, he should be bipartisan because when he is sitting on that chair, he represents the House and the will of the House,” says Rajya Sabha MP @KapilSibal",2023-12-25 10:31:00,15,0,2024,"“When a Speaker of the Lok Sabha is elected, he should not act as a member of a political party. Constitutionally, he should be bipartisan because when he is sitting on that chair, he represents the House and the will of the House,” says Rajya Sabha MP",neutral,0.8849338293075562
#Daily1State #Goa • Capital-Panaji • Established-30.5.1987 • Area rank-28 • Population rank-26 • Density-390/km2 • Literacy-88.70% • Language-Konkani • Legislature-Unicameral (40seats) • Parliamentary constituency - Rajya Sabha 1 - Lok Sabha 2 • Sex Ratio-973♀/1000♂,2021-12-03 05:24:00,111,0,2024,Daily1State Goa • Capital-Panaji • Established-30.5.1987 • Area rank-28 • Population rank-26 • Density-390/km2 • Literacy-88.70% • Language-Konkani • Legislature-Unicameral (40seats) • Parliamentary constituency - Rajya Sabha 1 - Lok Sabha 2 • Sex Ratio-973♀/1000♂,neutral,0.9266189336776733
Not loksabha... Vidhansabha,2023-12-25 12:51:00,0,0,2024,Not loksabha... Vidhansabha,neutral,0.7390893697738647
"Yatnal had talks with Kharge , will be joining congress and contesting for Loksabha . What a big boost to congress 🔥😂",2023-12-25 12:51:00,0,0,2024,"Yatnal had talks with Kharge , will be joining congress and contesting for Loksabha . What a big boost to congress 🔥😂",positive,0.9065025448799133
Pollsters predicting Loksabha numbers before 22nd Jan 2024 are guilty of engagement farming from the cuckoo's land 🥲,2023-12-25 12:50:00,17,2,2024,Pollsters predicting Loksabha numbers before 22nd Jan 2024 are guilty of engagement farming from the cuckoo's land 🥲,negative,0.7551574110984802
"#Daily1State #Chhattisgarh • Capital - Raipur • Formation - 1-11-2000 • Area rank - 9 • Population rank - 17 • Density - 220/km2 • Literacy - 71.04% • Language- Hindi, Chhattisgarhi • Constituencies - Rajya Sabha (5seats) - Lok Sabha (11seats) • Legislature- Unicameral",2021-12-02 07:19:00,121,5,2024,"Daily1State Chhattisgarh • Capital - Raipur • Formation - 1-11-2000 • Area rank - 9 • Population rank - 17 • Density - 220/km2 • Literacy - 71.04% • Language- Hindi, Chhattisgarhi • Constituencies - Rajya Sabha (5seats) - Lok Sabha (11seats) • Legislature- Unicameral",neutral,0.9380359649658203
#Daily1State #Manipur • Capital : Imphal • Area rank : 23rd • Population rank : 23rd • Language : Manipuri • Governor : La. Ganesan • Chief Minister : N. Biren Singh • Legislature : Unicameral (60 seats) • Parliamentary constituency - Rajya Sabha (1) - Lok Sabha (2),2021-12-15 13:53:00,120,1,2024,Daily1State Manipur • Capital : Imphal • Area rank : 23rd • Population rank : 23rd • Language : Manipuri • Governor : La. Ganesan • Chief Minister : N. Biren Singh • Legislature : Unicameral (60 seats) • Parliamentary constituency - Rajya Sabha (1) - Lok Sabha (2),neutral,0.9540414810180664
No Alternative To PM Modi In 2024 Lok Sabha Polls: Ajit Pawar https://www.ndtv.com/india-news/no-alternative-to-pm-narendra-modi-in-2024-lok-sabha-polls-ajit-pawar-4738366,2023-12-25 09:29:00,29,4,2024,No Alternative To PM Modi In 2024 Lok Sabha Polls: Ajit Pawar,neutral,0.8753761649131775
"VIDEO | “Recently in a meeting, I said that the seat-sharing formula for every state should be decided at the earliest so that we can fight elections together. I have no issues with it,” says Bihar CM @NitishKumar INDIA alliance's seat-sharing formula for 2024 Lok Sabha elections.",2023-12-25 07:25:00,309,2,2024,"VIDEO | “Recently in a meeting, I said that the seat-sharing formula for every state should be decided at the earliest so that we can fight elections together. I have no issues with it,” says Bihar CM INDIA alliance's seat-sharing formula for 2024 Lok Sabha elections.",neutral,0.6386141180992126
#Daily1State #MadhyaPradesh • Capital-Bhopal • Formation-1-11-1956 • Language-Hindi • Area rank-2nd • Population rank-5th • Literacy-70.6% • Sex ratio-931/1000 • Legislature Unicameral (230 seats) • Parliamentary constituency Lok Sabha (29seats) Rajya Sabha (11 seats),2021-12-13 08:59:00,97,3,2024,Daily1State MadhyaPradesh • Capital-Bhopal • Formation-1-11-1956 • Language-Hindi • Area rank-2nd • Population rank-5th • Literacy-70.6% • Sex ratio-931/1000 • Legislature Unicameral (230 seats) • Parliamentary constituency Lok Sabha (29seats) Rajya Sabha (11 seats),neutral,0.9318040609359741
"#WATCH | Congress General Secretary in-charge Communications, Jairam Ramesh says, ""...There will be a mega rally in Nagpur on 28th December with the name 'Hai Tayyar Hum'. Congress will blow the conch for the Lok Sabha elections 2024 during the rally. Party president Mallikarjun Kharge and MP Rahul Gandhi clearly stated that we are ready for seat sharing and want the INDIA alliance to be united and strong. Congress will do everything possible to win...""",2023-12-25 09:03:00,319,24,2024,"WATCH | Congress General Secretary in-charge Communications, Jairam Ramesh says, ""...There will be a mega rally in Nagpur on 28th December with the name 'Hai Tayyar Hum'. Congress will blow the conch for the Lok Sabha elections 2024 during the rally. Party president Mallikarjun Kharge and MP Rahul Gandhi clearly stated that we are ready for seat sharing and want the INDIA alliance to be united and strong. Congress will do everything possible to win...""",positive,0.5537877082824707
Bhai sahab loksabha chunav ko dekhte hue,2023-12-25 12:49:00,0,0,2024,Bhai sahab loksabha chunav ko dekhte hue,neutral,0.7688902020454407
I think more votes are added to BJP & more seats to Lok Sabha from Kerala. 1st wish is ruined No communal violence after 2014 2nd wish is lost Many opposition leaders are convicted 3rd wish too will be unfulfilled. Consult a Psychiatrist to stay healthy.,2023-12-25 12:48:00,0,0,2024,I think more votes are added to BJP & more seats to Lok Sabha from Kerala. 1st wish is ruined No communal violence after 2014 2nd wish is lost Many opposition leaders are convicted 3rd wish too will be unfulfilled. Consult a Psychiatrist to stay healthy.,negative,0.6829701066017151
"सर्व्हे काहीही असो, देशात फक्त मोदींचीच हवा, आम्ही 40 च्या वर जाणार म्हणजे जाणारच; देवेंद्र फडणवीसांचा विश्वास https://marathi.abplive.com/news/maharashtra/devendra-fadanvis-on-lok-sabha-election-2024-opinion-poll-abp-c-voter-survey-maharashtra-1240915 #LokSabha #Election #ABPCvotersurvey #OpinionPoll #DevendraFadanvis",2023-12-25 12:48:00,4,1,2024,"सर्व्हे काहीही असो, देशात फक्त मोदींचीच हवा, आम्ही 40 च्या वर जाणार म्हणजे जाणारच; देवेंद्र फडणवीसांचा विश्वास LokSabha Election ABPCvotersurvey OpinionPoll DevendraFadanvis",neutral,0.7946454286575317
A total of 264 questions raised by suspended Opposition MPs were deleted from the list of queries in both the Lok Sabha and the Rajya Sabha in three days during the recently-concluded winter session of Parliament. This was due to the suspension of 146 MPs https://www.hindustantimes.com/india-news/264-questions-raised-by-suspended-opposition-mps-deleted-from-records-101703272812489.html,2023-12-25 04:47:00,29,2,2024,A total of 264 questions raised by suspended Opposition MPs were deleted from the list of queries in both the Lok Sabha and the Rajya Sabha in three days during the recently-concluded winter session of Parliament. This was due to the suspension of 146 MPs,neutral,0.5234842300415039
Lok sabha elections vargu madro.. nange gothu nivu appithappinu Shivaji Nagar Frazer Town DJ Halli kade ಕನ್ನಡ antha usiru ethalla antha,2023-12-25 12:47:00,0,0,2024,Lok sabha elections vargu madro.. nange gothu nivu appithappinu Shivaji Nagar Frazer Town DJ Halli kade ಕನ್ನಡ antha usiru ethalla antha,neutral,0.8467168211936951
Congress is IMPOSSIBLE TO DEAL WITH!!! They have no idea what it means to have a dignified debate. Watch for yourself. Their lame objections against today's big CRPC and IPC bills passed in #LokSabha and #RajyaSabha .... https://invidious.perennialte.ch/live/TR5_Olhu-Vo?si=RIcUqY234hvsFgDo,2023-12-21 16:42:00,160,11,2024,Congress is IMPOSSIBLE TO DEAL WITH!!! They have no idea what it means to have a dignified debate. Watch for yourself. Their lame objections against today's big CRPC and IPC bills passed in LokSabha and RajyaSabha ....,negative,0.9243373274803162
आज दीननगर शेख़पुर में “संविधान बचाओ कार्यक्रम” में ...,2023-12-25 12:47:00,11,0,2024,आज दीननगर शेख़पुर में “संविधान बचाओ कार्यक्रम” में ...,neutral,0.7964887619018555
ABP- C Voter Opinion Poll Loksabha Elections ; Bihar (40 Seats) * NDA - 16-18 Seats * INDIA - 21-23 Seats * Oth -0-2 Seats It's looking that NDA is going to face a huge loss in Bihar while opposition is doing very good.,2023-12-24 14:42:00,395,25,2024,ABP- C Voter Opinion Poll Loksabha Elections ; Bihar (40 Seats) * NDA - 16-18 Seats * INDIA - 21-23 Seats * Oth -0-2 Seats It's looking that NDA is going to face a huge loss in Bihar while opposition is doing very good.,neutral,0.6284210085868835
Please don't alliance with AAP party in Punjab! Congress winning 7-8 seats Lok sabha without ally with AAP! AAP suitation very bad in Punjab! People very angry with AAP party! That by AAP want alliance with Congress in Punjab became Own benifit!,2023-12-24 13:25:00,304,6,2024,Please don't alliance with AAP party in Punjab! Congress winning 7-8 seats Lok sabha without ally with AAP! AAP suitation very bad in Punjab! People very angry with AAP party! That by AAP want alliance with Congress in Punjab became Own benifit!,negative,0.8741639852523804
"Congress ko sirf Rajasthan, Madhya Pradesh, Chhattisgarh, Haryana mein Focus karna hai Loksabha mein ! 4-7 seats Congress Kam kar deti ! Game changer ho sakta hai !",2023-12-24 15:16:00,607,15,2024,"Congress ko sirf Rajasthan, Madhya Pradesh, Chhattisgarh, Haryana mein Focus karna hai Loksabha mein ! 4-7 seats Congress Kam kar deti ! Game changer ho sakta hai !",neutral,0.7913873195648193
"मौर्या जी को बर्बाद करके मानेंगे योगी जी, पहले पल्लवी जी से हरवा कर स्टूल पर बिठाया, अब धर्मेंद्र जी से हरवा कर सीधे घर बिठा देंगे मौर्या जी को।",2023-12-25 11:49:00,26,0,2024,"मौर्या जी को बर्बाद करके मानेंगे योगी जी, पहले पल्लवी जी से हरवा कर स्टूल पर बिठाया, अब धर्मेंद्र जी से हरवा कर सीधे घर बिठा देंगे मौर्या जी को।",neutral,0.7983589172363281
Chapa Chapa Guj Uthaega BJP MODI MODI MODI MODI HAI MUMKIN HAI. DEKH LENA RAHUL GANDHI BJP HI FULL BAHUMAT AYEGI IS BAAR LOKSABHA ELECTION MAI CHARSO YA PONI CHAROSO.,2023-12-25 12:45:00,0,0,2024,Chapa Chapa Guj Uthaega BJP MODI MODI MODI MODI HAI MUMKIN HAI. DEKH LENA RAHUL GANDHI BJP HI FULL BAHUMAT AYEGI IS BAAR LOKSABHA ELECTION MAI CHARSO YA PONI CHAROSO.,neutral,0.8060922026634216
"Maharashtra Loksabha 2024 Opinion Poll (C-Voter) MVA 28 NDA 19 OTH 01 Congress is gaining big in Maharashtra especially in Vidharbha, making a comeback after 15 years.🔥 This survey should hold results, then Vidhansabha would be relatively better for MVA led by Thakrey, Pawar & Congress. Remember, Maharashtra is the second largest state of India politically after Uttar Pradesh.",2023-12-24 13:17:00,1210,178,2024,"Maharashtra Loksabha 2024 Opinion Poll (C-Voter) MVA 28 NDA 19 OTH 01 Congress is gaining big in Maharashtra especially in Vidharbha, making a comeback after 15 years.🔥 This survey should hold results, then Vidhansabha would be relatively better for MVA led by Thakrey, Pawar & Congress. Remember, Maharashtra is the second largest state of India politically after Uttar Pradesh.",positive,0.7825078964233398
"#LoksabhaElection2024 Those who say that if Kharge becomes the PM face of the opposition alliance for the 2024 Lok Sabha elections, then most of the SC voters will vote for the opposition alliance, are probably not fully aware of politics. In the 2019 Lok Sabha elections,",2023-12-25 09:33:00,168,1,2024,"LoksabhaElection2024 Those who say that if Kharge becomes the PM face of the opposition alliance for the 2024 Lok Sabha elections, then most of the SC voters will vote for the opposition alliance, are probably not fully aware of politics. In the 2019 Lok Sabha elections,",neutral,0.8643189668655396
"South and North line was originally the mind game was created by Rahul Gandhi. Waynad and Amethi was the reason during Lok Sabha election's. Dayanidhi Maran, you just dare to say same about Arbi, Pharsi, urdu speaking population.",2023-12-25 12:45:00,0,0,2024,"South and North line was originally the mind game was created by Rahul Gandhi. Waynad and Amethi was the reason during Lok Sabha election's. Dayanidhi Maran, you just dare to say same about Arbi, Pharsi, urdu speaking population.",neutral,0.6209887266159058
